月份,股票数,持有_总收益,无ML_T净贡献,无ML_总收益,ML_T净贡献,ML_总收益,持有正收益占比,无ML_T正占比,ML_T正占比,无ML均交易天,ML均交易天
2024-01,297,-7253763,2311524,-4942238,2481465,-4772298,36%,83%,86%,9.9,6.0
2024-02,297,7224934,1249194,8474129,1116078,8341013,98%,84%,82%,8.4,5.9
2024-03,297,680769,1274628,1955397,1252726,1933496,49%,77%,78%,8.9,5.2
2024-04,297,1162222,2227070,3389292,2141425,3303647,60%,87%,86%,9.5,6.2
2024-05,297,-2451371,758243,-1693128,790825,-1660546,41%,69%,69%,7.4,4.5
2024-06,297,-2335077,1677271,-657805,1719794,-615282,35%,82%,83%,8.7,4.8
2024-07,297,-132087,2175978,2043891,2107186,1975098,56%,79%,78%,10.5,6.7
2024-08,297,-2483438,1504624,-978814,1532826,-950612,20%,73%,76%,8.5,5.1
2024-09,297,12970233,-4129351,8840881,-4182172,8788060,99%,12%,10%,10.2,6.9
2024-10,297,-9985952,3411412,-6574540,3361209,-6624743,8%,68%,69%,11.0,8.6
2024-11,297,2060224,1874949,3935174,1913355,3973580,52%,71%,73%,10.7,6.9
2024-12,298,-359881,-877372,-1237253,-844207,-1204088,45%,36%,35%,8.0,5.1
2025-01,298,-1492024,460228,-1031795,405668,-1086355,30%,42%,40%,10.1,5.8
2025-02,299,2252790,1630262,3883053,1585585,3838376,49%,77%,77%,7.5,4.9
2025-03,299,-1034348,1125388,91040,1092025,57677,46%,66%,67%,6.4,3.7
2025-04,299,-1667635,4289139,2621504,4235372,2567737,29%,96%,96%,8.0,6.1
2025-05,299,-181582,-837275,-1018858,-853409,-1034992,57%,25%,24%,4.8,3.0
2025-06,299,2051402,521178,2572580,435068,2486471,69%,58%,57%,5.1,2.5
2025-07,300,3971804,85306,4057110,35182,4006987,69%,43%,42%,6.5,3.9
2025-08,300,13428785,649236,14078022,484893,13913678,79%,45%,43%,7.5,4.2
2025-09,300,3325088,885160,4210248,787349,4112437,42%,68%,69%,9.7,6.3
2025-10,300,-2766713,2008280,-758432,2010300,-756413,50%,82%,82%,6.4,4.7
2025-11,300,-2634139,2446127,-188012,2470542,-163597,27%,69%,72%,6.4,4.2
2025-12,300,1652496,1794347,3446843,1770391,3422887,50%,74%,74%,6.9,4.7
2026-01,300,1750943,-317009,1433934,-343879,1407064,47%,46%,49%,8.9,6.4
2026-02,300,425526,15993,441520,33905,459431,60%,34%,34%,5.3,3.5
2026-03,300,-5983130,2197474,-3785655,2384509,-3598620,27%,80%,82%,9.1,7.1
2026-04,300,8924517,-1151521,7772996,-1227329,7697188,53%,55%,55%,8.5,6.0
2026-05,300,4295008,-962316,3332691,-914936,3380071,28%,47%,52%,9.0,6.6
2026-06,300,-2298972,-83514,-2382486,-67171,-2366143,61%,43%,47%,0.4,0.3
