月份,股票数,持有_总收益,无ML_T净贡献,无ML_总收益,ML_T净贡献,ML_总收益,持有正收益占比,无ML_T正占比,ML_T正占比,无ML均交易天,ML均交易天
2024-01,297,-7253763,2311524,-4942238,2488095,-4765668,36%,83%,86%,9.9,6.3
2024-02,297,7224934,1249194,8474129,1124056,8348990,98%,84%,82%,8.4,6.2
2024-03,297,680769,1274628,1955397,1238758,1919527,49%,77%,78%,8.9,5.5
2024-04,297,1162222,2227070,3389292,2133462,3295684,60%,87%,86%,9.5,6.5
2024-05,297,-2451371,758243,-1693128,775419,-1675952,41%,69%,69%,7.4,4.6
2024-06,297,-2335077,1677271,-657805,1726069,-609008,35%,82%,82%,8.7,5.0
2024-07,297,-132087,2175978,2043891,2110430,1978342,56%,79%,78%,10.5,6.9
2024-08,297,-2483438,1504624,-978814,1537212,-946226,20%,73%,76%,8.5,5.4
2024-09,297,12970233,-4129351,8840881,-4175528,8794704,99%,12%,10%,10.2,7.2
2024-10,297,-9985952,3411412,-6574540,3368148,-6617803,8%,68%,68%,11.0,8.9
2024-11,297,2060224,1874949,3935174,1894877,3955102,52%,71%,72%,10.7,7.3
2024-12,298,-359881,-877372,-1237253,-838786,-1198667,45%,36%,35%,8.0,5.3
2025-01,298,-1492024,460228,-1031795,405952,-1086072,30%,42%,40%,10.1,6.1
2025-02,299,2252790,1630262,3883053,1586181,3838972,49%,77%,77%,7.5,5.1
2025-03,299,-1034348,1125388,91040,1091984,57636,46%,66%,67%,6.4,3.8
2025-04,299,-1667635,4289139,2621504,4243701,2576066,29%,96%,96%,8.0,6.2
2025-05,299,-181582,-837275,-1018858,-844606,-1026188,57%,25%,25%,4.8,3.1
2025-06,299,2051402,521178,2572580,444064,2495466,69%,58%,57%,5.1,2.6
2025-07,300,3971804,85306,4057110,34440,4006245,69%,43%,42%,6.5,4.1
2025-08,300,13428785,649236,14078022,498976,13927761,79%,45%,44%,7.5,4.4
2025-09,300,3325088,885160,4210248,783845,4108933,42%,68%,69%,9.7,6.4
2025-10,300,-2766713,2008280,-758432,2026931,-739782,50%,82%,82%,6.4,5.0
2025-11,300,-2634139,2446127,-188012,2448319,-185820,27%,69%,71%,6.4,4.3
2025-12,300,1652496,1794347,3446843,1768869,3421365,50%,74%,74%,6.9,4.8
2026-01,300,1750943,-317009,1433934,-336851,1414092,47%,46%,48%,8.9,6.6
2026-02,300,425526,15993,441520,12515,438041,60%,34%,33%,5.3,3.6
2026-03,300,-5983130,2197474,-3785655,2356522,-3626607,27%,80%,82%,9.1,7.2
2026-04,300,8924517,-1151521,7772996,-1205200,7719317,53%,55%,55%,8.5,6.2
2026-05,300,4295008,-962316,3332691,-923675,3371332,28%,47%,51%,9.0,6.8
2026-06,300,-2298972,-83514,-2382486,-69678,-2368650,61%,43%,46%,0.4,0.3
